,0
1,1.0136018991470337
2,1.0148770809173584
3,1.0145142078399658
4,1.0060664415359497
5,1.0087966918945312
6,1.0203559398651123
7,1.008063793182373
8,1.0123322010040283
9,1.0120532512664795
10,1.0169087648391724
11,1.0221519470214844
12,1.0149468183517456
13,1.01692533493042
14,1.010840892791748
15,1.0174336433410645
16,1.020014762878418
17,1.017103910446167
18,1.0189645290374756
19,1.0130503177642822
20,1.015929102897644
21,1.0143370628356934
22,1.0118192434310913
23,1.0114834308624268
24,1.010117769241333
25,1.0024285316467285
26,1.005602478981018
27,1.0048389434814453
28,1.0038405656814575
29,1.0031535625457764
30,1.0114374160766602
31,1.015974998474121
32,1.0077179670333862
33,1.0140929222106934
34,1.0141773223876953
35,1.0141842365264893
36,1.006196141242981
37,1.0111174583435059
38,1.0105667114257812
39,1.006211757659912
40,1.0046426057815552
41,1.0166620016098022
42,1.0065478086471558
43,1.0055460929870605
44,1.0099241733551025
45,1.0089328289031982
46,1.0083861351013184
47,1.0032036304473877
48,1.0030016899108887
49,1.005863070487976
50,0.9999415278434753
51,1.0105419158935547
52,1.0086462497711182
53,1.0092108249664307
54,1.0081359148025513
55,1.0046734809875488
56,1.0112898349761963
57,1.008881688117981
58,1.0043089389801025
59,1.0004475116729736
60,1.0071749687194824
61,1.004136323928833
62,1.0065033435821533
63,1.002314805984497
64,1.0039494037628174
65,1.0086846351623535
66,0.9999092221260071
67,1.0060338973999023
68,1.0082247257232666
69,1.0066732168197632
70,1.014784812927246
71,1.0015549659729004
72,1.0034253597259521
73,1.0041191577911377
74,1.005659580230713
75,1.0058094263076782
76,1.0009262561798096
77,1.0036826133728027
78,0.9997200965881348
79,1.0057188272476196
80,1.000342607498169
81,0.9953212738037109
82,1.0043625831604004
83,1.0029486417770386
84,1.0007951259613037
85,0.9977103471755981
86,1.0026962757110596
87,1.0055139064788818
88,1.0001052618026733
89,1.0025923252105713
90,0.99930739402771
91,1.0076520442962646
92,1.0044957399368286
93,0.9997349977493286
94,1.0018641948699951
95,0.9954062700271606
96,1.0068209171295166
97,1.008226990699768
98,0.9999732375144958
99,1.0023928880691528
100,1.0016785860061646
101,1.0029382705688477
102,1.0025631189346313
103,1.0034621953964233
104,1.001596212387085
105,0.9969568252563477
106,0.9966182112693787
107,1.0038946866989136
108,1.0010813474655151
109,1.0006937980651855
110,1.0021337270736694
111,1.0003790855407715
112,0.9986631870269775
113,0.9991480708122253
114,0.9938188791275024
115,1.0035877227783203
116,1.0059527158737183
117,1.0029150247573853
118,1.0028491020202637
119,0.9981562495231628
120,1.0003817081451416
121,1.0004205703735352
122,1.0020923614501953
123,1.004357099533081
124,0.9993236064910889
125,0.9984501004219055
126,1.0030560493469238
127,0.9979086518287659
128,0.9982665181159973
129,0.9936761856079102
130,0.9991196990013123
131,1.001266598701477
132,1.0016770362854004
133,0.9995653033256531
134,0.9967883825302124
135,1.0047876834869385
136,1.0041340589523315
