,MRR@10,Recall@10,QueriesWithNoRelevant@10,QueriesWithRelevant@10,AverageRankGoldLabel@10,MedianRankGoldLabel@10,MRR@20,Recall@20,QueriesWithNoRelevant@20,QueriesWithRelevant@20,AverageRankGoldLabel@20,MedianRankGoldLabel@20,MRR@1000,Recall@1000,QueriesWithNoRelevant@1000,QueriesWithRelevant@1000,AverageRankGoldLabel@1000,MedianRankGoldLabel@1000,nDCG@3,nDCG@5,nDCG@10,nDCG@20,nDCG@1000,QueriesRanked,MAP@1000
7500,0.21343035714285713,0.4132083333333333,1157,843,3.5160142348754446,3.0,0.22011302670282937,0.5067083333333333,969,1031,5.530552861299709,3.0,0.22271276058815734,0.574625,830,1170,8.161538461538461,4.0,0.20040203238067555,0.22733236043482025,0.2585892951563152,0.2829281948546907,0.2973179471396353,2000,0.2183472843189846
15000,0.23272579365079366,0.4367083333333333,1107,893,3.3650615901455767,2.0,0.2389130063306147,0.523625,933,1067,5.197750702905342,3.0,0.24084202342170283,0.574625,830,1170,7.161538461538462,4.0,0.21917279071597806,0.24878625323868983,0.27881773092685375,0.30132979599405757,0.31213631438937334,2000,0.23566965611547416
22500,0.24522083333333333,0.4520416666666666,1077,923,3.293607800650054,2.0,0.2509818373877584,0.5324583333333333,914,1086,5.005524861878453,3.0,0.2525566410245333,0.574625,830,1170,6.618803418803418,3.0,0.23372962027636493,0.26254105522454635,0.29217645725558894,0.3130775830714987,0.3220084807694714,2000,0.2477012659114221
30000,0.24932500000000002,0.459125,1063,937,3.2945570971184632,2.0,0.25455924972859956,0.5307916666666667,918,1082,4.780961182994455,3.0,0.25623889736446603,0.574625,830,1170,6.452991452991453,3.0,0.23405677527603191,0.2678504438446294,0.2971266722214058,0.3157497831915832,0.32509647140080666,2000,0.25151199493598886
37500,0.24739880952380952,0.4625416666666667,1056,944,3.284957627118644,2.0,0.25260558939899114,0.5355416666666667,908,1092,4.843406593406593,3.0,0.2540727937477421,0.574625,830,1170,6.3478632478632475,3.0,0.23455279727549033,0.26653702590473544,0.2968235921512011,0.3156269951540479,0.3239448232995031,2000,0.2496386893706428
